Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,World Share1
HK,408491,0%,864.5,11.35,3,634.29,46324,4081,5,0
Kazakhstan,325000,0%,279.4,1.8,0.48,100.46,9122,5068,18,0
Austria,262352,0%,459.8,8.07,2.13,450.92,48587,6021,13,0
Sweden,322109,0%,502,8.7,2.3,486.24,52274,6009,12,0
Peru,246000,0%,121.9,6.26,1.65,349.82,6127,979,8,0
Ukraine,244000,0%,83.7,6.44,1.7,359.76,3727,579,7,0
Ecuador,259000,0%,240.8,4.43,1.17,247.46,5600,1264,5,0
Greece,296101,0%,427.6,9.49,2.51,530.02,17623,1857,4,0
Morocco,275000,0%,120,6.36,1.68,355.53,3009,473,4,0
Libya,223000,0%,526.6,0.12,0.03,6.56,3699,30825,59,0
Switzerland,228194,0%,417.5,8.27,2.19,462.34,87097,10532,25,0
Qatar,172000,0%,993.4,2.18,0.58,121.82,50124,22993,23,0
Ireland,152404,0%,497.5,7.84,2.07,437.81,85268,10876,22,0
Denmark,158194,0%,424.6,10.04,2.65,561.11,61063,6082,14,0
Israel,236249,0%,446.6,7.94,2.1,443.73,44169,5563,12,0
Romania,200000,0%,154.9,6.87,1.82,384.08,12896,1877,12,0
Czech Republic (Czechia),179956,0%,259.8,7.56,2,422.15,22932,3033,12,0
Turkmenistan,149000,0%,403.4,1.62,0.43,90.52,7612,4699,12,0
Norway,204090,0%,595.8,10.22,2.7,571.26,67390,6594,11,0
New Zealand,166913,0%,549.2,7.82,2.07,436.75,41442,5299,10,0
Cuba,153000,0%,206.9,4.77,1.26,266.49,9478,1987,10,0
Oman,183000,0%,626.3,2.35,0.62,131.34,12660,5387,9,0
Hungary,155544,0%,244.5,7.6,2.01,424.48,15981,2103,9,0
Finland,210030,0%,585.7,10.01,2.64,559.21,48773,4872,8,0
Portugal,236866,0%,351.7,8.55,2.26,477.78,22176,2594,7,0
Panama,155000,0%,588.6,5.49,1.45,306.68,12510,2279,4,0
Lebanon,153000,0%,349.3,5.41,1.43,302.23,4650,860,2,0
Bangladesh,113000,0%,11,3.59,0.95,200.5,1969,548,50,0
Angola,133000,0%,70.7,1.39,0.37,77.83,1896,1364,19,0
Syria,140000,0%,122.9,1.08,0.29,60.49,2033,1882,15,0
Puerto Rico,96746,0%,451.7,5.41,1.43,302.23,32291,5969,13,0
Azerbaijan,96000,0%,151.2,2.23,0.59,124.36,4214,1890,12,0
Belarus,137000,0%,222.3,2.67,0.71,149.11,6411,2401,11,0
Guatemala,93000,0%,86,5.14,1.36,287.01,4603,896,10,0
Kenya,114000,0%,35.6,5.14,1.36,287.01,1838,358,10,0
Tunisia,97000,0%,131.5,2.86,0.76,159.68,3320,1161,9,0
Sri Lanka,127000,0%,92.6,4.75,1.26,265.43,3682,775,8,0
Myanmar,123000,0%,35.5,4.75,1.26,265.43,1400,295,8,0
Bulgaria,97000,0%,207.9,6.53,1.72,364.63,10079,1543,7,0
Dominican Republic,133000,0%,196.1,5.33,1.41,298,7268,1364,7,0
Jordan,114000,0%,182.9,6.3,1.66,351.94,4283,680,4,0
Sudan,140000,0%,53.9,4.8,1.27,268.18,596,124,2,0
Bolivia,90000,0%,125.1,2.06,0.54,115.06,3143,1526,12,0
Ghana,88000,0%,47.4,4.87,1.29,271.99,2329,478,10,0
Ethiopia,74000,0%,10.9,2.7,0.71,150.59,936,347,32,0
Slovakia,81587,0%,229.8,7.5,1.98,418.98,19267,2569,11,0
Serbia,74000,0%,128.1,6.64,1.76,371.18,7721,1163,9,0
Tanzania,71999,0%,20.8,4.86,1.28,271.57,1077,222,11,0
Croatia,69000,0%,251.3,7.24,1.91,404.39,14134,1952,8,0
